locale,FLAPAQ,FLASCQ,FLASTQ,FLATCQ,ICQ,LDWSTQ,PAQ,SCQ,STQ,TCQ,FLATCQSCI
sq-AL,N,N,N,N,N,Y,N,Y,Y,N,N
es-AR,N,N,N,N,Y,Y,N,Y,Y,N,N
hy-AM,N,N,N,N,N,Y,N,Y,Y,N,N
en-AU,N,N,N,N,Y,Y,N,Y,Y,Y,N
de-AT,N,N,N,N,Y,Y,N,Y,Y,N,N
az-QZ,N,N,N,N,N,Y,N,Y,Y,N,N
ru-QZ,N,N,N,N,N,Y,N,N,Y,N,N
nl-BE,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N
de-BE,N,N,N,N,Y,Y,N,Y,Y,N,N
fr-BE,N,N,N,N,Y,Y,N,Y,Y,N,N
bs-BA,N,N,N,N,N,N,N,N,N,N,N
hr-BA,N,N,N,N,N,N,N,N,N,N,N
sr-Cyrl-BA,N,N,N,N,N,N,N,N,N,N,N
pt-BR,N,N,N,N,N,Y,Y,Y,Y,N,N
en-BN,N,N,N,N,Y,Y,Y,Y,Y,Y,N
ar-MA,N,N,N,N,Y,Y,N,Y,Y,Y,N
bg-BG,N,Y,Y,N,Y,Y,N,Y,Y,N,N
en-CA,N,N,N,N,N,Y,N,Y,Y,N,N
fr-CA,N,N,N,N,N,Y,N,Y,Y,N,N
es-CL,N,N,N,N,N,Y,N,Y,Y,N,N
zh-TW,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
es-CO,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
ca-ES,N,Y,Y,N,Y,Y,N,Y,Y,N,N
hr-HR,N,Y,Y,N,N,Y,N,Y,Y,N,N
el-CY,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y
en-CY,N,N,N,N,N,Y,N,Y,Y,N,N
cs-CZ,N,Y,Y,N,N,Y,N,Y,Y,N,N
da-DK,N,Y,Y,N,N,Y,N,Y,Y,N,N
fo-DK,N,N,N,N,N,Y,N,Y,Y,N,N
ca-ES-valencia,N,Y,Y,N,Y,Y,N,Y,Y,N,N
cy-GB,N,N,N,N,N,N,N,N,N,N,N
ar-EG,N,N,N,N,N,Y,N,Y,Y,N,N
en-EG,N,N,N,N,N,Y,N,N,Y,N,N
